en,es,vi,de,ar,ja,hi
kidney transplants,trasplantes de riñón,ghép thận,Nierentransplantationen,عمليات زرع الكلى,腎臓移植,गुर्दा प्रत्यारोपण
kidneys,riñones,thận,Nieren,الكليتان,腎臓,गुर्दे
kids and mental health,niños y salud mental,trẻ em và sức khỏe tâm thần,Kinder und psychische Gesundheit,الأطفال والصحة النفسية,子供とメンタルヘルス,बच्चे और मानसिक स्वास्थ्य
kids' health,salud infantil,sức khỏe trẻ em,Kindergesundheit,صحة الأطفال,子供の健康,बच्चों का स्वास्थ्य
kilojoules,kilojulios,kilojoule,Kilojoule,كيلوجول,キロジュール,किलो जूल
kindness,amabilidad,lòng tốt,Freundlichkeit,العطف,親切,दयालुता
kissing disease,enfermedad del beso,bệnh lây truyền qua nụ hôn,Kusskrankheit,مرض التقبيل,キス病,चुंबन रोग
klinefelter syndrome,síndrome de Klinefelter,hội chứng Klinefelter,Klinefelter-Syndrom,متلازمة كلاينفلتر,クラインフェルター症候群,क्लाइनफेल्टर सिंड्रोम
knee injuries,lesiones de rodilla,chấn thương đầu gối,Knieverletzungen,إصابات الركبة,膝の怪我,घुटने की चोटें
knee pain,dolor de rodilla,đau đầu gối,Knieschmerzen,ألم في الركبة,膝の痛み,घुटने के दर्द
knee replacement,reemplazo de rodilla,thay khớp gối,Knieprothese,استبدال مفصل الركبة,膝関節置換術,नी रिप्लेसमेंट
knocks,golpes,gõ,Klopft,طرق,ノック,दस्तक देता है
know your standard drinks,conoce tus bebidas estándar,Hãy biết các loại đồ uống thông thường của bạn.,Kenne deine Standardgetränke,تعرف على مشروباتك القياسية,定番の飲み物を知っておく,अपने मानक पेय पदार्थों को जानें
labia problems,problemas de los labios vaginales,các vấn đề về môi âm hộ,Labienprobleme,مشاكل الشفرين,陰唇の問題,लेबिया संबंधी समस्याएं
labyrinthitis,laberintitis,viêm mê đạo,Labyrinthitis,التهاب التيه,内耳炎,Labyrinthitis
lactational amenorrhoea method,método de amenorrea de la lactancia,phương pháp vô kinh do cho con bú,Laktationsamenorrhoe-Methode,طريقة انقطاع الطمث أثناء الرضاعة,授乳性無月経法,स्तनपान संबंधी अमेनोरिया विधि
lactose intolerance,intolerancia a la lactosa,không dung nạp lactose,Laktoseintoleranz,عدم تحمل اللاكتوز,乳糖不耐症,लैक्टोज असहिष्णुता
laminectomy,laminectomía,phẫu thuật cắt bỏ màng cứng,Laminektomie,استئصال الصفيحة الفقرية,椎弓切除術,laminectomy
laparoscopic cholecystectomy,colecistectomía laparoscópica,phẫu thuật cắt túi mật nội soi,laparoskopische Cholezystektomie,استئصال المرارة بالمنظار,腹腔鏡下胆嚢摘出術,लैप्रोस्कोपिक कोलेसिस्टेक्टॉमी
laparoscopic heller's cardiomyotomy,cardiomiotomía de Heller laparoscópica,phẫu thuật cắt cơ tim Heller nội soi,laparoskopische Heller-Kardiomyotomie,استئصال عضلة القلب بالمنظار (عملية هيلر),腹腔鏡下ヘラー心筋切開術,लैप्रोस्कोपिक हेलर्स कार्डियोमायोटॉमी
laparoscopic hysterectomy,histerectomía laparoscópica,phẫu thuật cắt tử cung nội soi,laparoskopische Hysterektomie,استئصال الرحم بالمنظار,腹腔鏡下子宮摘出術,लैप्रोस्कोपिक हिस्टेरेक्टॉमी
laparoscopic incisional hernia repair,reparación laparoscópica de hernia incisional,Phẫu thuật nội soi điều trị thoát vị vết mổ,laparoskopische Narbenhernienreparatur,إصلاح الفتق الجراحي بالمنظار,腹腔鏡下切開ヘルニア修復術,लैप्रोस्कोपिक चीरा हर्निया की मरम्मत
laparoscopic inguinal hernia repair,reparación laparoscópica de hernia inguinal,phẫu thuật nội soi sửa chữa thoát vị bẹn,laparoskopische Leistenbruchoperation,إصلاح الفتق الإربي بالمنظار,腹腔鏡下鼠径ヘルニア修復術,लैप्रोस्कोपिक इनगुइनल हर्निया की मरम्मत
laparoscopic nissen fundoplication,fundoplicatura de Nissen laparoscópica,phẫu thuật nội soi Nissen đáy vị,laparoskopische Nissen-Fundoplikatio,تثبيت قاع المعدة بالمنظار,腹腔鏡下ニッセン噴門形成術,लैप्रोस्कोपिक निसेन फंडोप्लीकेशन
laparoscopic oophorectomy,ooforectomía laparoscópica,cắt bỏ buồng trứng bằng nội soi,laparoskopische Ovarektomie,استئصال المبيض بالمنظار,腹腔鏡下卵巣摘出術,लैप्रोस्कोपिक ओफोरेक्टॉमी
laparoscopic radical prostatectomy,prostatectomía radical laparoscópica,phẫu thuật cắt bỏ tuyến tiền liệt triệt để bằng phương pháp nội soi,laparoskopische radikale Prostatektomie,استئصال البروستاتا الجذري بالمنظار,腹腔鏡下根治的前立腺摘除術,लैप्रोस्कोपिक रेडिकल प्रोस्टेटेक्टॉमी
laparoscopic sterilisation,esterilización laparoscópica,triệt sản bằng nội soi,laparoskopische Sterilisation,التعقيم بالمنظار,腹腔鏡下不妊手術,लैप्रोस्कोपिक नसबंदी
laparoscopic subtotal hysterectomy,histerectomía subtotal laparoscópica,phẫu thuật cắt bỏ tử cung bán phần nội soi,laparoskopische subtotale Hysterektomie,استئصال الرحم الجزئي بالمنظار,腹腔鏡下部分子宮摘出術,लैप्रोस्कोपिक सबटोटल हिस्टेरेक्टॉमी
laparoscopy,laparoscopia,phẫu thuật nội soi,Laparoskopie,تنظير البطن,腹腔鏡検査,लेप्रोस्कोपी
laparoscopy and dye test,laparoscopia y prueba de tinción,nội soi và xét nghiệm thuốc nhuộm,Laparoskopie und Farbstofftest,تنظير البطن واختبار الصبغة,腹腔鏡検査と色素検査,लैप्रोस्कोपी और डाई परीक्षण
laparotomy,laparotomía,phẫu thuật mở bụng,Laparotomie,فتح البطن,開腹術,laparotomy
laryngectomy,laringectomía,phẫu thuật cắt thanh quản,Laryngektomie,استئصال الحنجرة,喉頭切除術,स्वरयंत्र-उच्छेदन
laryngitis,laringitis,viêm thanh quản,Laryngitis,التهاب الحنجرة,喉頭炎,लैरींगाइटिस
laryngoscopy,laringoscopia,nội soi thanh quản,Laryngoskopie,تنظير الحنجرة,喉頭鏡検査,लैरिंजोस्कोपी
laser eye surgery,cirugía ocular con láser,phẫu thuật mắt bằng laser,Laser-Augenoperation,جراحة العيون بالليزر,レーザー眼科手術,लेजर नेत्र शल्य चिकित्सा
lasik surgery,cirugía LASIK,phẫu thuật lasik,LASIK-Operation,جراحة الليزك,レーシック手術,लेसिक सर्जरी
lateral internal sphincterotomy,esfinterotomía interna lateral,cắt cơ vòng trong bên,laterale interne Sphinkterotomie,بضع المصرة الداخلية الجانبي,外側内括約筋切開術,पार्श्व आंतरिक स्फिंक्टरोटॉमी
laxatives,laxantes,thuốc nhuận tràng,Abführmittel,الملينات,下剤,रेचक
lazy eye,ojo vago,mắt lười,schielendes Auge,العين الكسولة,斜視,कमजोर नज़र
lead poisoning,saturnismo,ngộ độc chì,Bleivergiftung,التسمم بالرصاص,鉛中毒,सीसा विषाक्तता
learning disabilities,discapacidades de aprendizaje,khuyết tật học tập,Lernbehinderungen,صعوبات التعلم,学習障害,सीखने की अयोग्यता
leg pain,dolor en la pierna,đau chân,Beinschmerzen,ألم في الساق,脚の痛み,पैर में दर्द
leg ulcers,úlceras en las piernas,loét chân,Beingeschwüre,قرح الساق,下肢潰瘍,पैर के अल्सर
legionnaires' disease,legionelosis,Bệnh nhiễm trùng phổi,Legionärskrankheit,داء الفيالقة,レジオネラ症,लेगोनायर रोग
leprosy,lepra,bệnh phong,Lepra,جذام,ハンセン病,कुष्ठ रोग
leptospirosis,leptospirosis,bệnh leptospirosis,Leptospirose,داء البريميات,レプトスピラ症,लेप्टोस्पाइरोसिस
leukaemia,leucemia,bệnh bạch cầu,Leukämie,سرطان الدم,白血病,लेकिमिया
leukaemia in children,leucemia en niños,bệnh bạch cầu ở trẻ em,Leukämie bei Kindern,سرطان الدم عند الأطفال,小児白血病,बच्चों में ल्यूकेमिया
lewy body disease,enfermedad de cuerpos de Lewy,bệnh thể Lewy,Lewy-Körperchen-Krankheit,مرض أجسام ليوي,レビー小体病,लेवी बॉडी रोग
lgbtiqa+ mental health,salud mental lgttiqa+,sức khỏe tâm thần LGBTIQA+,LGBTQ+ psychische Gesundheit,الصحة النفسية للمثليين والمتحولين جنسياً,LGBTQ+のメンタルヘルス,एलजीबीटीआईसीए+ मानसिक स्वास्थ्य
libido,libido,ham muốn tình dục,Libido,الرغبة الجنسية,性欲,लीबीदो
lice,piojos,chấy,Läuse,قمل,シラミ,जूँ
life stages,etapas de la vida,các giai đoạn cuộc sống,Lebensphasen,مراحل الحياة,ライフステージ,जीवन की अवस्थाएं
lightheadedness,mareo,chóng mặt,Benommenheit,دوار خفيف,めまい,चक्कर
limb injuries,lesiones en las extremidades,chấn thương chi,Gliedmaßenverletzungen,إصابات الأطراف,四肢の負傷,अंगों में चोटें
limb numbness,entumecimiento de las extremidades,tê bì chân tay,Taubheitsgefühl in den Gliedmaßen,تنميل الأطراف,手足のしびれ,अंगों का सुन्न होना
lipoedema,lipedema,phù mỡ,Lipödem,الوذمة الشحمية,脂肪浮腫,लिपोएडेमा
lipoma,lipoma,u mỡ,Lipom,الورم الشحمي,脂肪腫,चर्बी की रसीली
liposuction,liposucción,hút mỡ,Fettabsaugung,شفط الدهون,脂肪吸引,लिपोसक्शन
listeria and listeriosis,listeria y listeriosis,vi khuẩn Listeria và bệnh nhiễm khuẩn Listeria,Listerien und Listeriose,الليستيريا وداء الليستريات,リステリア菌とリステリア症,लिस्टेरिया और लिस्टेरियोसिस
lithium,litio,lithium,Lithium,الليثيوم,リチウム,लिथियम
liver,hígado,gan,Leber,الكبد,肝臓,जिगर
liver biopsy,biopsia de hígado,sinh thiết gan,Leberbiopsie,خزعة الكبد,肝生検,लीवर बायोप्सी
liver cancer,cáncer de hígado,ung thư gan,Leberkrebs,سرطان الكبد,肝臓がん,लिवर कैंसर
liver cirrhosis,cirrosis hepática,xơ gan,Leberzirrhose,تليف الكبد,肝硬変,लिवर सिरोसिस
liver conditions and diseases,afecciones y enfermedades del hígado,các bệnh và vấn đề về gan,Lebererkrankungen,أمراض وحالات الكبد,肝臓の状態と疾患,यकृत संबंधी स्थितियाँ और रोग
liver failure,insuficiencia hepática,suy gan,Leberversagen,فشل الكبد,肝不全,यकृत का काम करना बंद कर देना
liver function tests,pruebas de función hepática,xét nghiệm chức năng gan,Leberfunktionstests,اختبارات وظائف الكبد,肝機能検査,लिवर फ़ंक्शन परीक्षण
living with a terminal illness,vivir con una enfermedad terminal,Sống chung với căn bệnh nan y,Leben mit einer unheilbaren Krankheit,التعايش مع مرض عضال,末期疾患と共に生きる,एक असाध्य बीमारी के साथ जीना
living with dementia,vivir con demencia,sống chung với chứng mất trí nhớ,Leben mit Demenz,التعايش مع الخرف,認知症と共に生きる,मनोभ्रंश के साथ जीना
local anaesthetic,anestesia local,thuốc gây tê tại chỗ,Lokalanästhetikum,مخدر موضعي,局所麻酔,स्थानीय निश्चेतक
loneliness,soledad,cô đơn,Einsamkeit,الوحدة,孤独,अकेलापन
long covid,COVID prolongado,COVID kéo dài,Long Covid,كوفيد طويل الأمد,ロングコロナ,लॉन्ग कोविड
long qt syndrome,síndrome de QT largo,hội chứng QT kéo dài,Long-QT-Syndrom,متلازمة كيو تي الطويلة,QT延長症候群,लॉन्ग क्यूटी सिंड्रोम
long-sightedness,hipermetropía,viễn thị,Weitsicht,طول النظر,遠視,दूरी की देखना
looking after a sick child,cuidar a un niño enfermo,chăm sóc một đứa trẻ bị ốm,Betreuung eines kranken Kindes,رعاية طفل مريض,病気の子供の世話をする,बीमार बच्चे की देखभाल करना
looking after others,cuidar de los demás,chăm sóc người khác,sich um andere kümmern,متابعة الآخرين,他人の世話をする,दूसरों की देखभाल करना
looking after someone with cancer,cuidar a alguien con cáncer,chăm sóc người bị ung thư,die Betreuung einer Person mit Krebs,رعاية شخص مصاب بالسرطان,がん患者の介護,कैंसर से पीड़ित किसी व्यक्ति की देखभाल करना
looking after someone with dementia or alzheimer's disease,cuidar a una persona con demencia o enfermedad de Alzheimer,chăm sóc người bị sa sút trí tuệ hoặc bệnh Alzheimer.,Betreuung einer Person mit Demenz oder Alzheimer-Krankheit,رعاية شخص مصاب بالخرف أو مرض الزهايمر,認知症やアルツハイマー病の人の介護,मनोभ्रंश या अल्जाइमर रोग से पीड़ित किसी व्यक्ति की देखभाल करना
looking after your baby or child’s teeth,Cómo cuidar los dientes de tu bebé o niño,chăm sóc răng miệng cho bé hoặc trẻ nhỏ,Die Zahnpflege Ihres Babys oder Kindes,العناية بأسنان طفلك أو رضيعك,赤ちゃんや子供の歯のケア,अपने शिशु या बच्चे के दांतों की देखभाल करना
looking after your eyes,cuidando tus ojos,chăm sóc đôi mắt của bạn,Pflegen Sie Ihre Augen,حماية عينيك,目のケア,अपनी आँखों का ख्याल रखना
losing interest,perder interés,mất hứng thú,nachlassendes Interesse,فقدان الاهتمام,興味を失う,रुचि खोना
loss,pérdida,sự mất mát,Verlust,خسارة,損失,नुकसान
loss of female libido,pérdida de la libido femenina,mất ham muốn tình dục ở nữ giới,Verlust der weiblichen Libido,فقدان الرغبة الجنسية لدى النساء,女性の性欲減退,महिलाओं की कामेच्छा में कमी
loss of male libido,pérdida de la libido masculina,mất ham muốn tình dục ở nam giới,Verlust der männlichen Libido,فقدان الرغبة الجنسية لدى الذكور,男性の性欲減退,पुरुषों में कामेच्छा में कमी
loss of muscle mass,pérdida de masa muscular,mất khối lượng cơ,Verlust der Muskelmasse,فقدان كتلة العضلات,筋肉量の減少,मांसपेशियों के द्रव्यमान में कमी
lou gehrig's disease,enfermedad de Lou Gehrig,bệnh Lou Gehrig,Lou-Gehrig-Krankheit,مرض لو جيريج,筋萎縮性側索硬化症（ルー・ゲーリック病）,लू गेहरिग रोग
low fodmap diets,dietas bajas en FODMAP,chế độ ăn ít FODMAP,Low-FODMAP-Diäten,حميات غذائية منخفضة الفودماب,低FODMAP食,कम FODMAP आहार
low vision,baja visión,thị lực thấp,Sehschwäche,ضعف البصر,弱視,कम दृष्टि
lower back pain,dolor lumbar,đau lưng dưới,Schmerzen im unteren Rücken,ألم أسفل الظهر,腰痛,पीठ के निचले हिस्से में दर्द
lower limb angiogram and angioplasty,angiografía y angioplastia de las extremidades inferiores,chụp mạch và nong mạch chi dưới,Angiographie und Angioplastie der unteren Extremitäten,تصوير الأوعية الدموية للأطراف السفلية وتوسيع الأوعية الدموية,下肢血管造影および血管形成術,निचले अंगों का एंजियोग्राम और एंजियोप्लास्टी
lsd,LSD,lsd,LSD,إل إس دي,LSD,एलएसडी
lumbago,lumbago,đau lưng,Lumbago,ألم أسفل الظهر,腰痛,लूम्बेगो
lumbar laminectomy,laminectomía lumbar,phẫu thuật cắt bỏ bản sống thắt lưng,lumbale Laminektomie,استئصال الصفيحة الفقرية القطنية,腰椎椎弓切除術,लम्बर लैमिनेक्टॉमी
lumbar microdiscectomy,microdiscectomía lumbar,phẫu thuật vi cắt đĩa đệm cột sống thắt lưng,lumbale Mikrodiskektomie,استئصال القرص القطني المجهري,腰椎椎間板切除術,लम्बर माइक्रोडिस्सेक्टोमी
lumbar puncture,punción lumbar,chọc dò tủy sống,Lumbalpunktion,البزل القطني,腰椎穿刺,लकड़ी का पंचर
lumbar spine,columna lumbar,cột sống thắt lưng,Lendenwirbelsäule,العمود الفقري القطني,腰椎,काठ का रीढ़
lump under armpit,bulto debajo de la axila,khối u dưới nách,Knoten unter der Achselhöhle,كتلة تحت الإبط,脇の下のしこり,बगल के नीचे गांठ
lung biopsy,biopsia pulmonar,sinh thiết phổi,Lungenbiopsie,خزعة الرئة,肺生検,फेफड़े की बायोप्सी
lung cancer,cáncer de pulmón,ung thư phổi,Lungenkrebs,سرطان الرئة,肺癌,फेफड़े का कैंसर
lung cancer screening,detección del cáncer de pulmón,sàng lọc ung thư phổi,Lungenkrebs-Screening,فحص سرطان الرئة,肺がん検診,फेफड़ों के कैंसर की जांच
lung conditions,afecciones pulmonares,các bệnh về phổi,Lungenerkrankungen,أمراض الرئة,肺疾患,फेफड़ों की स्थितियाँ
lupus,lupus,bệnh lupus,Lupus,الذئبة,ループス,एक प्रकार का वृक्ष
lyme disease,enfermedad de Lyme,bệnh Lyme,Lyme-Krankheit,مرض لايم,ライム病,लाइम की बीमारी
lymph nodes,ganglios linfáticos,hạch bạch huyết,Lymphknoten,الغدد الليمفاوية,リンパ節,लसीकापर्व
lymphoedema,linfedema,phù bạch huyết,Lymphödem,الوذمة اللمفية,リンパ浮腫,लिम्फोएडेमा
lymphoma,linfoma,u lympho,Lymphom,سرطان الغدد الليمفاوية,リンパ腫,लिंफोमा
lynch syndrome,síndrome de Lynch,hội chứng Lynch,Lynchsyndrom,متلازمة لينش,リンチ症候群,लिंच सिंड्रोम
lyssavirus,lisavirus,lyssavirus,Lyssavirus,فيروس داء الكلب,リッサウイルス,लिसावायरस
macular degeneration,degeneración macular,thoái hóa điểm vàng,Makuladegeneration,التنكس البقعي,黄斑変性,चकत्तेदार अध: पतन
magnesium and your health,El magnesio y su salud,Magie và sức khỏe của bạn,Magnesium und Ihre Gesundheit,المغنيسيوم وصحتك,マグネシウムとあなたの健康,मैग्नीशियम और आपका स्वास्थ्य
magnesium blood test,análisis de sangre de magnesio,xét nghiệm máu magiê,Magnesium-Bluttest,فحص المغنيسيوم في الدم,マグネシウム血液検査,मैग्नीशियम रक्त परीक्षण
magnesium deficiency,deficiencia de magnesio,thiếu magiê,Magnesiummangel,نقص المغنيسيوم,マグネシウム欠乏症,मैग्नीशियम की कमी
magnetic resonance imaging,imágenes por resonancia magnética,chụp cộng hưởng từ,Magnetresonanztomographie,التصوير بالرنين المغناطيسي,磁気共鳴画像法,चुम्बकीय अनुनाद इमेजिंग
making decisions about unplanned pregnancies,tomar decisiones sobre embarazos no planificados,đưa ra quyết định về việc mang thai ngoài ý muốn,Entscheidungen über ungeplante Schwangerschaften treffen,اتخاذ القرارات بشأن حالات الحمل غير المخطط لها,予期せぬ妊娠に関する意思決定,अनियोजित गर्भधारण के बारे में निर्णय लेना
malabsorption syndromes,síndromes de malabsorción,hội chứng kém hấp thu,Malabsorptionssyndrome,متلازمات سوء الامتصاص,吸収不良症候群,कुअवशोषण सिंड्रोम
malaria,malaria,sốt rét,Malaria,ملاريا,マラリア,मलेरिया
male health,salud masculina,sức khỏe nam giới,Männergesundheit,صحة الرجل,男性の健康,पुरुषों का स्वास्थ्य
male libido,libido masculina,ham muốn tình dục nam giới,männliche Libido,الرغبة الجنسية لدى الرجال,男性の性欲,पुरुष कामेच्छा
male mastectomy,mastectomía masculina,phẫu thuật cắt bỏ vú ở nam giới,männliche Mastektomie,استئصال الثدي عند الذكور,男性乳房切除術,पुरुषों की मास्टेक्टॉमी
male reproductive system,sistema reproductor masculino,hệ sinh sản nam,männliches Fortpflanzungssystem,الجهاز التناسلي الذكري,男性生殖器系,पुरुष प्रजनन तंत्र
male sexual problems,problemas sexuales masculinos,các vấn đề tình dục ở nam giới,Sexuelle Probleme bei Männern,مشاكل جنسية عند الرجال,男性の性的な問題,पुरुषों की यौन समस्याएं
male-pattern baldness,calvicie de patrón masculino,chứng hói đầu ở nam giới,männlicher Haarausfall,الصلع الذكوري,男性型脱毛症,पुरुषों में होने वाला गंजापन
malnutrition,desnutrición,suy dinh dưỡng,Unterernährung,سوء التغذية,栄養失調,कुपोषण
mammography,mamografía,chụp nhũ ảnh,Mammographie,التصوير الشعاعي للثدي,マンモグラフィー,मैमोग्राफी
manage your health in your 40s,Cuida tu salud a partir de los 40 años.,Quản lý sức khỏe của bạn ở độ tuổi 40,Ihre Gesundheit in den 40ern im Griff behalten,اهتم بصحتك في الأربعينيات من عمرك,40代の健康管理,40 की उम्र में अपने स्वास्थ्य का ध्यान रखें
manage your health in your 50s,Cuida tu salud a partir de los 50 años.,Quản lý sức khỏe của bạn ở độ tuổi 50,Ihre Gesundheit im Alter von 50 Jahren im Griff behalten,اهتم بصحتك في الخمسينيات من عمرك,50代の健康管理,50 की उम्र में अपने स्वास्थ्य का ध्यान रखें
manage your health in your 60s,Cuida tu salud a partir de los 60 años.,Quản lý sức khỏe của bạn ở độ tuổi 60,Ihre Gesundheit im Alter von 60 Jahren managen,اهتم بصحتك في الستينيات من عمرك,60代の健康管理,60 वर्ष की आयु में अपने स्वास्थ्य का ध्यान रखें
management of chronic conditions,manejo de enfermedades crónicas,quản lý các bệnh mãn tính,Management chronischer Erkrankungen,إدارة الحالات المزمنة,慢性疾患の管理,दीर्घकालिक स्थितियों का प्रबंधन
managing mood swings,controlar los cambios de humor,quản lý sự thay đổi tâm trạng,Umgang mit Stimmungsschwankungen,إدارة تقلبات المزاج,気分の変動を管理する,मनोदशा में होने वाले उतार-चढ़ाव का प्रबंधन
manic depression,depresión maníaca,trầm cảm hưng cảm,manische Depression,الاكتئاب الهوسي,躁うつ病,उन्माद अवसाद
marfan syndrome,síndrome de Marfan,hội chứng Marfan,Marfan-Syndrom,متلازمة مارفان,マルファン症候群,मार्फ़न सिंड्रोम
marijuana,marijuana,cần sa,Marihuana,قنب هندي,マリファナ,मारिजुआना
massage therapy guide,guía de terapia de masaje,hướng dẫn trị liệu mát-xa,Leitfaden zur Massagetherapie,دليل العلاج بالتدليك,マッサージ療法ガイド,मालिश चिकित्सा मार्गदर्शिका
mastectomy — breast cancer treatment or prevention,mastectomía: tratamiento o prevención del cáncer de mama,phẫu thuật cắt bỏ vú — điều trị hoặc phòng ngừa ung thư vú,Mastektomie – Behandlung oder Vorbeugung von Brustkrebs,استئصال الثدي - علاج أو الوقاية من سرطان الثدي,乳房切除術 ― 乳がんの治療または予防,मैस्टेक्टॉमी — स्तन कैंसर का उपचार या रोकथाम
mastitis,mastitis,viêm vú,Mastitis,التهاب الثدي,乳腺炎,स्तन की सूजन
maternal health and pregnancy,salud materna y embarazo,sức khỏe bà mẹ và thai kỳ,Müttergesundheit und Schwangerschaft,صحة الأم والحمل,母体健康と妊娠,मातृ स्वास्थ्य और गर्भावस्था
maternity care in australia,atención de maternidad en Australia,chăm sóc thai sản ở Úc,Mutterschaftsvorsorge in Australien,رعاية الأمومة في أستراليا,オーストラリアの産科医療,ऑस्ट्रेलिया में मातृत्व देखभाल
maxillary le fort 1 osteotomy,Osteotomía maxilar Le Fort 1,phẫu thuật cắt xương hàm trên Le Fort 1,Le-Fort-I-Osteotomie des Oberkiefers,قطع عظم الفك العلوي ليفورت 1,上顎ルフォー1型骨切り術,मैक्सिलरी ले फोर्ट 1 ऑस्टियोटॉमी
mdma,MDMA,mdma,MDMA,إم دي إم إيه,mdma,एमडीएमए
measles,sarampión,bệnh sởi,Masern,الحصبة,麻疹,खसरा
medical and surgical abortions,abortos médicos y quirúrgicos,phá thai bằng phương pháp nội khoa và phẫu thuật,medizinische und chirurgische Schwangerschaftsabbrüche,الإجهاض الطبي والجراحي,薬物による中絶と外科的中絶,चिकित्सा और शल्य चिकित्सा गर्भपात
medical kits,kits médicos,bộ dụng cụ y tế,Erste-Hilfe-Sets,مجموعات طبية,医療キット,चिकित्सा किट
medical terms glossary,glosario de términos médicos,bảng thuật ngữ y khoa,Glossar medizinischer Fachbegriffe,مسرد المصطلحات الطبية,医療用語集,चिकित्सा शब्दावली
medicare,seguro médico del estado,bảo hiểm y tế,Medicare,الرعاية الطبية,メディケア,चिकित्सा
medicare safety nets,redes de seguridad de Medicare,mạng lưới an sinh xã hội của Medicare,Medicare-Sicherheitsnetze,شبكات الأمان الصحي,メディケアのセーフティネット,मेडिकेयर सुरक्षा जाल
medication,medicamento,thuốc,Medikamente,دواء,薬,दवाई
medicinal cannabis,cannabis medicinal,cần sa y tế,medizinisches Cannabis,القنب الطبي,医療用大麻,औषधीय भांग
medicine recalls,retirada de medicamentos del mercado,thu hồi thuốc,Rückrufe von Medikamenten,سحب الأدوية من الأسواق,医薬品のリコール,दवा वापस मंगाई गई
medicines,medicamentos,các loại thuốc,Medikamente,الأدوية,薬,दवाइयाँ
medicines and addiction,Medicamentos y adicción,thuốc và nghiện,Medikamente und Sucht,الأدوية والإدمان,薬物と依存症,दवाइयाँ और लत
medicines and alcohol,medicamentos y alcohol,thuốc và rượu,Medikamente und Alkohol,الأدوية والكحول,薬とアルコール,दवाइयाँ और शराब
medicines and breastfeeding,medicamentos y lactancia materna,thuốc và cho con bú,Medikamente und Stillen,الأدوية والرضاعة الطبيعية,薬と授乳,दवाइयाँ और स्तनपान
medicines and driving,medicamentos y conducción,thuốc men và lái xe,Medikamente und Autofahren,الأدوية والقيادة,薬と運転,दवाइयाँ और ड्राइविंग
medicines for babies and children,medicamentos para bebés y niños,thuốc dành cho trẻ sơ sinh và trẻ em,Medikamente für Babys und Kinder,أدوية للأطفال والرضع,乳幼児向け医薬品,शिशुओं और बच्चों के लिए दवाइयाँ
medicines for bipolar disorder,medicamentos para el trastorno bipolar,thuốc điều trị rối loạn lưỡng cực,Medikamente gegen bipolare Störung,أدوية لعلاج اضطراب ثنائي القطب,双極性障害の薬,द्विध्रुवी विकार के लिए दवाएँ
medicines for colds,medicamentos para el resfriado,thuốc trị cảm lạnh,Medikamente gegen Erkältungen,أدوية لعلاج نزلات البرد,風邪薬,सर्दी-जुकाम की दवाइयाँ
medicines for pain,medicamentos para el dolor,thuốc giảm đau,Schmerzmittel,أدوية لتسكين الألم,痛み止め薬,दर्द निवारक दवाइयाँ
medicines safety for older people,Seguridad de los medicamentos para las personas mayores,sự an toàn của thuốc đối với người cao tuổi,Arzneimittelsicherheit für ältere Menschen,سلامة الأدوية لكبار السن,高齢者の医薬品の安全性,वृद्ध लोगों के लिए दवाओं की सुरक्षा
medicines to treat nicotine dependence,Medicamentos para tratar la dependencia de la nicotina,thuốc điều trị chứng nghiện nicotine,Medikamente zur Behandlung der Nikotinabhängigkeit,أدوية لعلاج إدمان النيكوتين,ニコチン依存症を治療するための薬,निकोटिन की लत के इलाज के लिए दवाएं
meditation,meditación,thiền định,Meditation,تأمل,瞑想,ध्यान
mediterranean diet,dieta mediterránea,chế độ ăn Địa Trung Hải,mediterrane Ernährung,حمية البحر الأبيض المتوسط,地中海式ダイエット,भूमध्यसागरीय आहार
melancholia,melancolía,chứng trầm cảm,Melancholie,الكآبة,メランコリア,विषाद
melanoma,melanoma,u hắc tố,Melanom,سرطان الجلد,メラノーマ,मेलेनोमा
melatonin,melatonina,melatonin,Melatonin,الميلاتونين,メラトニン,मेलाटोनिन
melioidosis,melioidosis,bệnh melioidosis,Melioidose,داء الميليودوز,類鼻疽,melioidosis
memory concerns,problemas de memoria,những lo ngại về trí nhớ,Gedächtnisprobleme,مشاكل في الذاكرة,記憶に関する懸念,स्मृति संबंधी समस्याएं
memory disorders,trastornos de la memoria,rối loạn trí nhớ,Gedächtnisstörungen,اضطرابات الذاكرة,記憶障害,स्मृति विकार
men and depression,hombres y depresión,đàn ông và chứng trầm cảm,Männer und Depression,الرجال والاكتئاب,男性と鬱病,पुरुष और अवसाद
men and mental health,Los hombres y la salud mental,nam giới và sức khỏe tâm thần,Männer und psychische Gesundheit,الرجال والصحة النفسية,男性とメンタルヘルス,पुरुष और मानसिक स्वास्थ्य
men's health,salud masculina,sức khỏe nam giới,Männergesundheit,صحة الرجال,男性用健康,पुरुषों का स्वास्थ्य
meniere’s disease,enfermedad de Ménière,bệnh Meniere,Morbus Menière,مرض منيير,メニエール病,मेनियर रोग
meningitis,meningitis,viêm màng não,Meningitis,التهاب السحايا,髄膜炎,मस्तिष्कावरण शोथ
meningococcal disease,enfermedad meningocócica,bệnh não mô cầu,Meningokokkenerkrankung,مرض المكورات السحائية,髄膜炎菌感染症,मेनिंगोकोकल रोग
