en,es,vi,ar,de,hi,ja
kidney function tests,pruebas de función renal,xét nghiệm chức năng thận,اختبارات وظائف الكلى,Nierenfunktionstests,गुर्दे की कार्यक्षमता परीक्षण,腎機能検査
kidney infection,infección renal,nhiễm trùng thận,التهاب الكلى,Niereninfektion,गुर्दे का संक्रमण,腎臓感染症
kidney pain,dolor de riñón,đau thận,ألم في الكلى,Nierenschmerzen,गुर्दे में दर्द,腎臓の痛み
kidney transplants,trasplantes de riñón,ghép thận,عمليات زرع الكلى,Nierentransplantationen,गुर्दा प्रत्यारोपण,腎臓移植
kidneys,riñones,thận,الكليتان,Nieren,गुर्दे,腎臓
kids and mental health,niños y salud mental,trẻ em và sức khỏe tâm thần,الأطفال والصحة النفسية,Kinder und psychische Gesundheit,बच्चे और मानसिक स्वास्थ्य,子供とメンタルヘルス
kids' health,salud infantil,sức khỏe trẻ em,صحة الأطفال,Kindergesundheit,बच्चों का स्वास्थ्य,子供の健康
kilojoules,kilojulios,kilojoule,كيلوجول,Kilojoule,किलो जूल,キロジュール
kindness,amabilidad,lòng tốt,العطف,Freundlichkeit,दयालुता,親切
kissing disease,enfermedad del beso,bệnh lây truyền qua nụ hôn,مرض التقبيل,Kusskrankheit,चुंबन रोग,キス病
klinefelter syndrome,síndrome de Klinefelter,hội chứng Klinefelter,متلازمة كلاينفلتر,Klinefelter-Syndrom,क्लाइनफेल्टर सिंड्रोम,クラインフェルター症候群
knee injuries,lesiones de rodilla,chấn thương đầu gối,إصابات الركبة,Knieverletzungen,घुटने की चोटें,膝の怪我
knee pain,dolor de rodilla,đau đầu gối,ألم في الركبة,Knieschmerzen,घुटने के दर्द,膝の痛み
knee replacement,reemplazo de rodilla,thay khớp gối,استبدال مفصل الركبة,Knieprothese,नी रिप्लेसमेंट,膝関節置換術
knocks,golpes,gõ,طرق,Klopft,दस्तक देता है,ノック
know your standard drinks,conoce tus bebidas estándar,Hãy biết các loại đồ uống thông thường của bạn.,تعرف على مشروباتك القياسية,Kenne deine Standardgetränke,अपने मानक पेय पदार्थों को जानें,定番の飲み物を知っておく
labia problems,problemas de los labios vaginales,các vấn đề về môi âm hộ,مشاكل الشفرين,Labienprobleme,लेबिया संबंधी समस्याएं,陰唇の問題
labyrinthitis,laberintitis,viêm mê đạo,التهاب التيه,Labyrinthitis,Labyrinthitis,内耳炎
lactational amenorrhoea method,método de amenorrea de la lactancia,phương pháp vô kinh do cho con bú,طريقة انقطاع الطمث أثناء الرضاعة,Laktationsamenorrhoe-Methode,स्तनपान संबंधी अमेनोरिया विधि,授乳性無月経法
lactose intolerance,intolerancia a la lactosa,không dung nạp lactose,عدم تحمل اللاكتوز,Laktoseintoleranz,लैक्टोज असहिष्णुता,乳糖不耐症
laminectomy,laminectomía,phẫu thuật cắt bỏ màng cứng,استئصال الصفيحة الفقرية,Laminektomie,laminectomy,椎弓切除術
laparoscopic cholecystectomy,colecistectomía laparoscópica,phẫu thuật cắt túi mật nội soi,استئصال المرارة بالمنظار,laparoskopische Cholezystektomie,लैप्रोस्कोपिक कोलेसिस्टेक्टॉमी,腹腔鏡下胆嚢摘出術
laparoscopic heller's cardiomyotomy,cardiomiotomía de Heller laparoscópica,phẫu thuật cắt cơ tim Heller nội soi,استئصال عضلة القلب بالمنظار (عملية هيلر),laparoskopische Heller-Kardiomyotomie,लैप्रोस्कोपिक हेलर्स कार्डियोमायोटॉमी,腹腔鏡下ヘラー心筋切開術
laparoscopic hysterectomy,histerectomía laparoscópica,phẫu thuật cắt tử cung nội soi,استئصال الرحم بالمنظار,laparoskopische Hysterektomie,लैप्रोस्कोपिक हिस्टेरेक्टॉमी,腹腔鏡下子宮摘出術
laparoscopic incisional hernia repair,reparación laparoscópica de hernia incisional,Phẫu thuật nội soi điều trị thoát vị vết mổ,إصلاح الفتق الجراحي بالمنظار,laparoskopische Narbenhernienreparatur,लैप्रोस्कोपिक चीरा हर्निया की मरम्मत,腹腔鏡下切開ヘルニア修復術
laparoscopic inguinal hernia repair,reparación laparoscópica de hernia inguinal,phẫu thuật nội soi sửa chữa thoát vị bẹn,إصلاح الفتق الإربي بالمنظار,laparoskopische Leistenbruchoperation,लैप्रोस्कोपिक इनगुइनल हर्निया की मरम्मत,腹腔鏡下鼠径ヘルニア修復術
laparoscopic nissen fundoplication,fundoplicatura de Nissen laparoscópica,phẫu thuật nội soi Nissen đáy vị,تثبيت قاع المعدة بالمنظار,laparoskopische Nissen-Fundoplikatio,लैप्रोस्कोपिक निसेन फंडोप्लीकेशन,腹腔鏡下ニッセン噴門形成術
laparoscopic oophorectomy,ooforectomía laparoscópica,cắt bỏ buồng trứng bằng nội soi,استئصال المبيض بالمنظار,laparoskopische Ovarektomie,लैप्रोस्कोपिक ओफोरेक्टॉमी,腹腔鏡下卵巣摘出術
laparoscopic radical prostatectomy,prostatectomía radical laparoscópica,phẫu thuật cắt bỏ tuyến tiền liệt triệt để bằng phương pháp nội soi,استئصال البروستاتا الجذري بالمنظار,laparoskopische radikale Prostatektomie,लैप्रोस्कोपिक रेडिकल प्रोस्टेटेक्टॉमी,腹腔鏡下根治的前立腺摘除術
laparoscopic sterilisation,esterilización laparoscópica,triệt sản bằng nội soi,التعقيم بالمنظار,laparoskopische Sterilisation,लैप्रोस्कोपिक नसबंदी,腹腔鏡下不妊手術
laparoscopic subtotal hysterectomy,histerectomía subtotal laparoscópica,phẫu thuật cắt bỏ tử cung bán phần nội soi,استئصال الرحم الجزئي بالمنظار,laparoskopische subtotale Hysterektomie,लैप्रोस्कोपिक सबटोटल हिस्टेरेक्टॉमी,腹腔鏡下部分子宮摘出術
laparoscopy,laparoscopia,phẫu thuật nội soi,تنظير البطن,Laparoskopie,लेप्रोस्कोपी,腹腔鏡検査
laparoscopy and dye test,laparoscopia y prueba de tinción,nội soi và xét nghiệm thuốc nhuộm,تنظير البطن واختبار الصبغة,Laparoskopie und Farbstofftest,लैप्रोस्कोपी और डाई परीक्षण,腹腔鏡検査と色素検査
laparotomy,laparotomía,phẫu thuật mở bụng,فتح البطن,Laparotomie,laparotomy,開腹術
laryngectomy,laringectomía,phẫu thuật cắt thanh quản,استئصال الحنجرة,Laryngektomie,स्वरयंत्र-उच्छेदन,喉頭切除術
laryngitis,laringitis,viêm thanh quản,التهاب الحنجرة,Laryngitis,लैरींगाइटिस,喉頭炎
laryngoscopy,laringoscopia,nội soi thanh quản,تنظير الحنجرة,Laryngoskopie,लैरिंजोस्कोपी,喉頭鏡検査
laser eye surgery,cirugía ocular con láser,phẫu thuật mắt bằng laser,جراحة العيون بالليزر,Laser-Augenoperation,लेजर नेत्र शल्य चिकित्सा,レーザー眼科手術
lasik surgery,cirugía LASIK,phẫu thuật lasik,جراحة الليزك,LASIK-Operation,लेसिक सर्जरी,レーシック手術
lateral internal sphincterotomy,esfinterotomía interna lateral,cắt cơ vòng trong bên,بضع المصرة الداخلية الجانبي,laterale interne Sphinkterotomie,पार्श्व आंतरिक स्फिंक्टरोटॉमी,外側内括約筋切開術
laxatives,laxantes,thuốc nhuận tràng,الملينات,Abführmittel,रेचक,下剤
lazy eye,ojo vago,mắt lười,العين الكسولة,schielendes Auge,कमजोर नज़र,斜視
lead poisoning,saturnismo,ngộ độc chì,التسمم بالرصاص,Bleivergiftung,सीसा विषाक्तता,鉛中毒
learning disabilities,discapacidades de aprendizaje,khuyết tật học tập,صعوبات التعلم,Lernbehinderungen,सीखने की अयोग्यता,学習障害
leg pain,dolor en la pierna,đau chân,ألم في الساق,Beinschmerzen,पैर में दर्द,脚の痛み
leg ulcers,úlceras en las piernas,loét chân,قرح الساق,Beingeschwüre,पैर के अल्सर,下肢潰瘍
legionnaires' disease,legionelosis,Bệnh nhiễm trùng phổi,داء الفيالقة,Legionärskrankheit,लेगोनायर रोग,レジオネラ症
leprosy,lepra,bệnh phong,جذام,Lepra,कुष्ठ रोग,ハンセン病
leptospirosis,leptospirosis,bệnh leptospirosis,داء البريميات,Leptospirose,लेप्टोस्पाइरोसिस,レプトスピラ症
leukaemia,leucemia,bệnh bạch cầu,سرطان الدم,Leukämie,लेकिमिया,白血病
leukaemia in children,leucemia en niños,bệnh bạch cầu ở trẻ em,سرطان الدم عند الأطفال,Leukämie bei Kindern,बच्चों में ल्यूकेमिया,小児白血病
lewy body disease,enfermedad de cuerpos de Lewy,bệnh thể Lewy,مرض أجسام ليوي,Lewy-Körperchen-Krankheit,लेवी बॉडी रोग,レビー小体病
lgbtiqa+ mental health,salud mental lgttiqa+,sức khỏe tâm thần LGBTIQA+,الصحة النفسية للمثليين والمتحولين جنسياً,LGBTQ+ psychische Gesundheit,एलजीबीटीआईसीए+ मानसिक स्वास्थ्य,LGBTQ+のメンタルヘルス
libido,libido,ham muốn tình dục,الرغبة الجنسية,Libido,लीबीदो,性欲
lice,piojos,chấy,قمل,Läuse,जूँ,シラミ
life stages,etapas de la vida,các giai đoạn cuộc sống,مراحل الحياة,Lebensphasen,जीवन की अवस्थाएं,ライフステージ
lightheadedness,mareo,chóng mặt,دوار خفيف,Benommenheit,चक्कर,めまい
limb injuries,lesiones en las extremidades,chấn thương chi,إصابات الأطراف,Gliedmaßenverletzungen,अंगों में चोटें,四肢の負傷
limb numbness,entumecimiento de las extremidades,tê bì chân tay,تنميل الأطراف,Taubheitsgefühl in den Gliedmaßen,अंगों का सुन्न होना,手足のしびれ
lipoedema,lipedema,phù mỡ,الوذمة الشحمية,Lipödem,लिपोएडेमा,脂肪浮腫
lipoma,lipoma,u mỡ,الورم الشحمي,Lipom,चर्बी की रसीली,脂肪腫
liposuction,liposucción,hút mỡ,شفط الدهون,Fettabsaugung,लिपोसक्शन,脂肪吸引
listeria and listeriosis,listeria y listeriosis,vi khuẩn Listeria và bệnh nhiễm khuẩn Listeria,الليستيريا وداء الليستريات,Listerien und Listeriose,लिस्टेरिया और लिस्टेरियोसिस,リステリア菌とリステリア症
lithium,litio,lithium,الليثيوم,Lithium,लिथियम,リチウム
liver,hígado,gan,الكبد,Leber,जिगर,肝臓
liver biopsy,biopsia de hígado,sinh thiết gan,خزعة الكبد,Leberbiopsie,लीवर बायोप्सी,肝生検
liver cancer,cáncer de hígado,ung thư gan,سرطان الكبد,Leberkrebs,लिवर कैंसर,肝臓がん
liver cirrhosis,cirrosis hepática,xơ gan,تليف الكبد,Leberzirrhose,लिवर सिरोसिस,肝硬変
liver conditions and diseases,afecciones y enfermedades del hígado,các bệnh và vấn đề về gan,أمراض وحالات الكبد,Lebererkrankungen,यकृत संबंधी स्थितियाँ और रोग,肝臓の状態と疾患
liver failure,insuficiencia hepática,suy gan,فشل الكبد,Leberversagen,यकृत का काम करना बंद कर देना,肝不全
liver function tests,pruebas de función hepática,xét nghiệm chức năng gan,اختبارات وظائف الكبد,Leberfunktionstests,लिवर फ़ंक्शन परीक्षण,肝機能検査
living with a terminal illness,vivir con una enfermedad terminal,Sống chung với căn bệnh nan y,التعايش مع مرض عضال,Leben mit einer unheilbaren Krankheit,एक असाध्य बीमारी के साथ जीना,末期疾患と共に生きる
living with dementia,vivir con demencia,sống chung với chứng mất trí nhớ,التعايش مع الخرف,Leben mit Demenz,मनोभ्रंश के साथ जीना,認知症と共に生きる
local anaesthetic,anestesia local,thuốc gây tê tại chỗ,مخدر موضعي,Lokalanästhetikum,स्थानीय निश्चेतक,局所麻酔
loneliness,soledad,cô đơn,الوحدة,Einsamkeit,अकेलापन,孤独
long covid,COVID prolongado,COVID kéo dài,كوفيد طويل الأمد,Long Covid,लॉन्ग कोविड,ロングコロナ
long qt syndrome,síndrome de QT largo,hội chứng QT kéo dài,متلازمة كيو تي الطويلة,Long-QT-Syndrom,लॉन्ग क्यूटी सिंड्रोम,QT延長症候群
long-sightedness,hipermetropía,viễn thị,طول النظر,Weitsicht,दूरी की देखना,遠視
looking after a sick child,cuidar a un niño enfermo,chăm sóc một đứa trẻ bị ốm,رعاية طفل مريض,Betreuung eines kranken Kindes,बीमार बच्चे की देखभाल करना,病気の子供の世話をする
looking after others,cuidar de los demás,chăm sóc người khác,متابعة الآخرين,sich um andere kümmern,दूसरों की देखभाल करना,他人の世話をする
looking after someone with cancer,cuidar a alguien con cáncer,chăm sóc người bị ung thư,رعاية شخص مصاب بالسرطان,die Betreuung einer Person mit Krebs,कैंसर से पीड़ित किसी व्यक्ति की देखभाल करना,がん患者の介護
looking after someone with dementia or alzheimer's disease,cuidar a una persona con demencia o enfermedad de Alzheimer,chăm sóc người bị sa sút trí tuệ hoặc bệnh Alzheimer.,رعاية شخص مصاب بالخرف أو مرض الزهايمر,Betreuung einer Person mit Demenz oder Alzheimer-Krankheit,मनोभ्रंश या अल्जाइमर रोग से पीड़ित किसी व्यक्ति की देखभाल करना,認知症やアルツハイマー病の人の介護
looking after your baby or child’s teeth,Cómo cuidar los dientes de tu bebé o niño,chăm sóc răng miệng cho bé hoặc trẻ nhỏ,العناية بأسنان طفلك أو رضيعك,Die Zahnpflege Ihres Babys oder Kindes,अपने शिशु या बच्चे के दांतों की देखभाल करना,赤ちゃんや子供の歯のケア
looking after your eyes,cuidando tus ojos,chăm sóc đôi mắt của bạn,حماية عينيك,Pflegen Sie Ihre Augen,अपनी आँखों का ख्याल रखना,目のケア
losing interest,perder interés,mất hứng thú,فقدان الاهتمام,nachlassendes Interesse,रुचि खोना,興味を失う
loss,pérdida,sự mất mát,خسارة,Verlust,नुकसान,損失
loss of female libido,pérdida de la libido femenina,mất ham muốn tình dục ở nữ giới,فقدان الرغبة الجنسية لدى النساء,Verlust der weiblichen Libido,महिलाओं की कामेच्छा में कमी,女性の性欲減退
loss of male libido,pérdida de la libido masculina,mất ham muốn tình dục ở nam giới,فقدان الرغبة الجنسية لدى الذكور,Verlust der männlichen Libido,पुरुषों में कामेच्छा में कमी,男性の性欲減退
loss of muscle mass,pérdida de masa muscular,mất khối lượng cơ,فقدان كتلة العضلات,Verlust der Muskelmasse,मांसपेशियों के द्रव्यमान में कमी,筋肉量の減少
lou gehrig's disease,enfermedad de Lou Gehrig,bệnh Lou Gehrig,مرض لو جيريج,Lou-Gehrig-Krankheit,लू गेहरिग रोग,筋萎縮性側索硬化症（ルー・ゲーリック病）
low fodmap diets,dietas bajas en FODMAP,chế độ ăn ít FODMAP,حميات غذائية منخفضة الفودماب,Low-FODMAP-Diäten,कम FODMAP आहार,低FODMAP食
low vision,baja visión,thị lực thấp,ضعف البصر,Sehschwäche,कम दृष्टि,弱視
lower back pain,dolor lumbar,đau lưng dưới,ألم أسفل الظهر,Schmerzen im unteren Rücken,पीठ के निचले हिस्से में दर्द,腰痛
lower limb angiogram and angioplasty,angiografía y angioplastia de las extremidades inferiores,chụp mạch và nong mạch chi dưới,تصوير الأوعية الدموية للأطراف السفلية وتوسيع الأوعية الدموية,Angiographie und Angioplastie der unteren Extremitäten,निचले अंगों का एंजियोग्राम और एंजियोप्लास्टी,下肢血管造影および血管形成術
lsd,LSD,lsd,إل إس دي,LSD,एलएसडी,LSD
lumbago,lumbago,đau lưng,ألم أسفل الظهر,Lumbago,लूम्बेगो,腰痛
lumbar laminectomy,laminectomía lumbar,phẫu thuật cắt bỏ bản sống thắt lưng,استئصال الصفيحة الفقرية القطنية,lumbale Laminektomie,लम्बर लैमिनेक्टॉमी,腰椎椎弓切除術
lumbar microdiscectomy,microdiscectomía lumbar,phẫu thuật vi cắt đĩa đệm cột sống thắt lưng,استئصال القرص القطني المجهري,lumbale Mikrodiskektomie,लम्बर माइक्रोडिस्सेक्टोमी,腰椎椎間板切除術
lumbar puncture,punción lumbar,chọc dò tủy sống,البزل القطني,Lumbalpunktion,लकड़ी का पंचर,腰椎穿刺
lumbar spine,columna lumbar,cột sống thắt lưng,العمود الفقري القطني,Lendenwirbelsäule,काठ का रीढ़,腰椎
lump under armpit,bulto debajo de la axila,khối u dưới nách,كتلة تحت الإبط,Knoten unter der Achselhöhle,बगल के नीचे गांठ,脇の下のしこり
lung biopsy,biopsia pulmonar,sinh thiết phổi,خزعة الرئة,Lungenbiopsie,फेफड़े की बायोप्सी,肺生検
lung cancer,cáncer de pulmón,ung thư phổi,سرطان الرئة,Lungenkrebs,फेफड़े का कैंसर,肺癌
lung cancer screening,detección del cáncer de pulmón,sàng lọc ung thư phổi,فحص سرطان الرئة,Lungenkrebs-Screening,फेफड़ों के कैंसर की जांच,肺がん検診
lung conditions,afecciones pulmonares,các bệnh về phổi,أمراض الرئة,Lungenerkrankungen,फेफड़ों की स्थितियाँ,肺疾患
lupus,lupus,bệnh lupus,الذئبة,Lupus,एक प्रकार का वृक्ष,ループス
lyme disease,enfermedad de Lyme,bệnh Lyme,مرض لايم,Lyme-Krankheit,लाइम की बीमारी,ライム病
lymph nodes,ganglios linfáticos,hạch bạch huyết,الغدد الليمفاوية,Lymphknoten,लसीकापर्व,リンパ節
lymphoedema,linfedema,phù bạch huyết,الوذمة اللمفية,Lymphödem,लिम्फोएडेमा,リンパ浮腫
lymphoma,linfoma,u lympho,سرطان الغدد الليمفاوية,Lymphom,लिंफोमा,リンパ腫
lynch syndrome,síndrome de Lynch,hội chứng Lynch,متلازمة لينش,Lynchsyndrom,लिंच सिंड्रोम,リンチ症候群
lyssavirus,lisavirus,lyssavirus,فيروس داء الكلب,Lyssavirus,लिसावायरस,リッサウイルス
macular degeneration,degeneración macular,thoái hóa điểm vàng,التنكس البقعي,Makuladegeneration,चकत्तेदार अध: पतन,黄斑変性
magnesium and your health,El magnesio y su salud,Magie và sức khỏe của bạn,المغنيسيوم وصحتك,Magnesium und Ihre Gesundheit,मैग्नीशियम और आपका स्वास्थ्य,マグネシウムとあなたの健康
magnesium blood test,análisis de sangre de magnesio,xét nghiệm máu magiê,فحص المغنيسيوم في الدم,Magnesium-Bluttest,मैग्नीशियम रक्त परीक्षण,マグネシウム血液検査
magnesium deficiency,deficiencia de magnesio,thiếu magiê,نقص المغنيسيوم,Magnesiummangel,मैग्नीशियम की कमी,マグネシウム欠乏症
magnetic resonance imaging,imágenes por resonancia magnética,chụp cộng hưởng từ,التصوير بالرنين المغناطيسي,Magnetresonanztomographie,चुम्बकीय अनुनाद इमेजिंग,磁気共鳴画像法
making decisions about unplanned pregnancies,tomar decisiones sobre embarazos no planificados,đưa ra quyết định về việc mang thai ngoài ý muốn,اتخاذ القرارات بشأن حالات الحمل غير المخطط لها,Entscheidungen über ungeplante Schwangerschaften treffen,अनियोजित गर्भधारण के बारे में निर्णय लेना,予期せぬ妊娠に関する意思決定
malabsorption syndromes,síndromes de malabsorción,hội chứng kém hấp thu,متلازمات سوء الامتصاص,Malabsorptionssyndrome,कुअवशोषण सिंड्रोम,吸収不良症候群
malaria,malaria,sốt rét,ملاريا,Malaria,मलेरिया,マラリア
male health,salud masculina,sức khỏe nam giới,صحة الرجل,Männergesundheit,पुरुषों का स्वास्थ्य,男性の健康
male libido,libido masculina,ham muốn tình dục nam giới,الرغبة الجنسية لدى الرجال,männliche Libido,पुरुष कामेच्छा,男性の性欲
male mastectomy,mastectomía masculina,phẫu thuật cắt bỏ vú ở nam giới,استئصال الثدي عند الذكور,männliche Mastektomie,पुरुषों की मास्टेक्टॉमी,男性乳房切除術
male reproductive system,sistema reproductor masculino,hệ sinh sản nam,الجهاز التناسلي الذكري,männliches Fortpflanzungssystem,पुरुष प्रजनन तंत्र,男性生殖器系
male sexual problems,problemas sexuales masculinos,các vấn đề tình dục ở nam giới,مشاكل جنسية عند الرجال,Sexuelle Probleme bei Männern,पुरुषों की यौन समस्याएं,男性の性的な問題
male-pattern baldness,calvicie de patrón masculino,chứng hói đầu ở nam giới,الصلع الذكوري,männlicher Haarausfall,पुरुषों में होने वाला गंजापन,男性型脱毛症
malnutrition,desnutrición,suy dinh dưỡng,سوء التغذية,Unterernährung,कुपोषण,栄養失調
mammography,mamografía,chụp nhũ ảnh,التصوير الشعاعي للثدي,Mammographie,मैमोग्राफी,マンモグラフィー
manage your health in your 40s,Cuida tu salud a partir de los 40 años.,Quản lý sức khỏe của bạn ở độ tuổi 40,اهتم بصحتك في الأربعينيات من عمرك,Ihre Gesundheit in den 40ern im Griff behalten,40 की उम्र में अपने स्वास्थ्य का ध्यान रखें,40代の健康管理
manage your health in your 50s,Cuida tu salud a partir de los 50 años.,Quản lý sức khỏe của bạn ở độ tuổi 50,اهتم بصحتك في الخمسينيات من عمرك,Ihre Gesundheit im Alter von 50 Jahren im Griff behalten,50 की उम्र में अपने स्वास्थ्य का ध्यान रखें,50代の健康管理
manage your health in your 60s,Cuida tu salud a partir de los 60 años.,Quản lý sức khỏe của bạn ở độ tuổi 60,اهتم بصحتك في الستينيات من عمرك,Ihre Gesundheit im Alter von 60 Jahren managen,60 वर्ष की आयु में अपने स्वास्थ्य का ध्यान रखें,60代の健康管理
management of chronic conditions,manejo de enfermedades crónicas,quản lý các bệnh mãn tính,إدارة الحالات المزمنة,Management chronischer Erkrankungen,दीर्घकालिक स्थितियों का प्रबंधन,慢性疾患の管理
managing mood swings,controlar los cambios de humor,quản lý sự thay đổi tâm trạng,إدارة تقلبات المزاج,Umgang mit Stimmungsschwankungen,मनोदशा में होने वाले उतार-चढ़ाव का प्रबंधन,気分の変動を管理する
manic depression,depresión maníaca,trầm cảm hưng cảm,الاكتئاب الهوسي,manische Depression,उन्माद अवसाद,躁うつ病
marfan syndrome,síndrome de Marfan,hội chứng Marfan,متلازمة مارفان,Marfan-Syndrom,मार्फ़न सिंड्रोम,マルファン症候群
marijuana,marijuana,cần sa,قنب هندي,Marihuana,मारिजुआना,マリファナ
massage therapy guide,guía de terapia de masaje,hướng dẫn trị liệu mát-xa,دليل العلاج بالتدليك,Leitfaden zur Massagetherapie,मालिश चिकित्सा मार्गदर्शिका,マッサージ療法ガイド
mastectomy — breast cancer treatment or prevention,mastectomía: tratamiento o prevención del cáncer de mama,phẫu thuật cắt bỏ vú — điều trị hoặc phòng ngừa ung thư vú,استئصال الثدي - علاج أو الوقاية من سرطان الثدي,Mastektomie – Behandlung oder Vorbeugung von Brustkrebs,मैस्टेक्टॉमी — स्तन कैंसर का उपचार या रोकथाम,乳房切除術 ― 乳がんの治療または予防
mastitis,mastitis,viêm vú,التهاب الثدي,Mastitis,स्तन की सूजन,乳腺炎
maternal health and pregnancy,salud materna y embarazo,sức khỏe bà mẹ và thai kỳ,صحة الأم والحمل,Müttergesundheit und Schwangerschaft,मातृ स्वास्थ्य और गर्भावस्था,母体健康と妊娠
maternity care in australia,atención de maternidad en Australia,chăm sóc thai sản ở Úc,رعاية الأمومة في أستراليا,Mutterschaftsvorsorge in Australien,ऑस्ट्रेलिया में मातृत्व देखभाल,オーストラリアの産科医療
maxillary le fort 1 osteotomy,Osteotomía maxilar Le Fort 1,phẫu thuật cắt xương hàm trên Le Fort 1,قطع عظم الفك العلوي ليفورت 1,Le-Fort-I-Osteotomie des Oberkiefers,मैक्सिलरी ले फोर्ट 1 ऑस्टियोटॉमी,上顎ルフォー1型骨切り術
mdma,MDMA,mdma,إم دي إم إيه,MDMA,एमडीएमए,mdma
measles,sarampión,bệnh sởi,الحصبة,Masern,खसरा,麻疹
medical and surgical abortions,abortos médicos y quirúrgicos,phá thai bằng phương pháp nội khoa và phẫu thuật,الإجهاض الطبي والجراحي,medizinische und chirurgische Schwangerschaftsabbrüche,चिकित्सा और शल्य चिकित्सा गर्भपात,薬物による中絶と外科的中絶
medical kits,kits médicos,bộ dụng cụ y tế,مجموعات طبية,Erste-Hilfe-Sets,चिकित्सा किट,医療キット
medical terms glossary,glosario de términos médicos,bảng thuật ngữ y khoa,مسرد المصطلحات الطبية,Glossar medizinischer Fachbegriffe,चिकित्सा शब्दावली,医療用語集
medicare,seguro médico del estado,bảo hiểm y tế,الرعاية الطبية,Medicare,चिकित्सा,メディケア
medicare safety nets,redes de seguridad de Medicare,mạng lưới an sinh xã hội của Medicare,شبكات الأمان الصحي,Medicare-Sicherheitsnetze,मेडिकेयर सुरक्षा जाल,メディケアのセーフティネット
medication,medicamento,thuốc,دواء,Medikamente,दवाई,薬
medicinal cannabis,cannabis medicinal,cần sa y tế,القنب الطبي,medizinisches Cannabis,औषधीय भांग,医療用大麻
medicine recalls,retirada de medicamentos del mercado,thu hồi thuốc,سحب الأدوية من الأسواق,Rückrufe von Medikamenten,दवा वापस मंगाई गई,医薬品のリコール
medicines,medicamentos,các loại thuốc,الأدوية,Medikamente,दवाइयाँ,薬
medicines and addiction,Medicamentos y adicción,thuốc và nghiện,الأدوية والإدمان,Medikamente und Sucht,दवाइयाँ और लत,薬物と依存症
medicines and alcohol,medicamentos y alcohol,thuốc và rượu,الأدوية والكحول,Medikamente und Alkohol,दवाइयाँ और शराब,薬とアルコール
medicines and breastfeeding,medicamentos y lactancia materna,thuốc và cho con bú,الأدوية والرضاعة الطبيعية,Medikamente und Stillen,दवाइयाँ और स्तनपान,薬と授乳
medicines and driving,medicamentos y conducción,thuốc men và lái xe,الأدوية والقيادة,Medikamente und Autofahren,दवाइयाँ और ड्राइविंग,薬と運転
medicines for babies and children,medicamentos para bebés y niños,thuốc dành cho trẻ sơ sinh và trẻ em,أدوية للأطفال والرضع,Medikamente für Babys und Kinder,शिशुओं और बच्चों के लिए दवाइयाँ,乳幼児向け医薬品
medicines for bipolar disorder,medicamentos para el trastorno bipolar,thuốc điều trị rối loạn lưỡng cực,أدوية لعلاج اضطراب ثنائي القطب,Medikamente gegen bipolare Störung,द्विध्रुवी विकार के लिए दवाएँ,双極性障害の薬
medicines for colds,medicamentos para el resfriado,thuốc trị cảm lạnh,أدوية لعلاج نزلات البرد,Medikamente gegen Erkältungen,सर्दी-जुकाम की दवाइयाँ,風邪薬
medicines for pain,medicamentos para el dolor,thuốc giảm đau,أدوية لتسكين الألم,Schmerzmittel,दर्द निवारक दवाइयाँ,痛み止め薬
medicines safety for older people,Seguridad de los medicamentos para las personas mayores,sự an toàn của thuốc đối với người cao tuổi,سلامة الأدوية لكبار السن,Arzneimittelsicherheit für ältere Menschen,वृद्ध लोगों के लिए दवाओं की सुरक्षा,高齢者の医薬品の安全性
medicines to treat nicotine dependence,Medicamentos para tratar la dependencia de la nicotina,thuốc điều trị chứng nghiện nicotine,أدوية لعلاج إدمان النيكوتين,Medikamente zur Behandlung der Nikotinabhängigkeit,निकोटिन की लत के इलाज के लिए दवाएं,ニコチン依存症を治療するための薬
meditation,meditación,thiền định,تأمل,Meditation,ध्यान,瞑想
mediterranean diet,dieta mediterránea,chế độ ăn Địa Trung Hải,حمية البحر الأبيض المتوسط,mediterrane Ernährung,भूमध्यसागरीय आहार,地中海式ダイエット
melancholia,melancolía,chứng trầm cảm,الكآبة,Melancholie,विषाद,メランコリア
melanoma,melanoma,u hắc tố,سرطان الجلد,Melanom,मेलेनोमा,メラノーマ
melatonin,melatonina,melatonin,الميلاتونين,Melatonin,मेलाटोनिन,メラトニン
melioidosis,melioidosis,bệnh melioidosis,داء الميليودوز,Melioidose,melioidosis,類鼻疽
memory concerns,problemas de memoria,những lo ngại về trí nhớ,مشاكل في الذاكرة,Gedächtnisprobleme,स्मृति संबंधी समस्याएं,記憶に関する懸念
memory disorders,trastornos de la memoria,rối loạn trí nhớ,اضطرابات الذاكرة,Gedächtnisstörungen,स्मृति विकार,記憶障害
men and depression,hombres y depresión,đàn ông và chứng trầm cảm,الرجال والاكتئاب,Männer und Depression,पुरुष और अवसाद,男性と鬱病
men and mental health,Los hombres y la salud mental,nam giới và sức khỏe tâm thần,الرجال والصحة النفسية,Männer und psychische Gesundheit,पुरुष और मानसिक स्वास्थ्य,男性とメンタルヘルス
men's health,salud masculina,sức khỏe nam giới,صحة الرجال,Männergesundheit,पुरुषों का स्वास्थ्य,男性用健康
meniere’s disease,enfermedad de Ménière,bệnh Meniere,مرض منيير,Morbus Menière,मेनियर रोग,メニエール病
